iter	RMSE
339	0.2660186594
340	0.265909368
341	0.2657533017
342	0.2655755006
343	0.2654631614
344	0.2653719581
345	0.2653154215
346	0.2652139373
347	0.265049526
348	0.2648741227
349	0.2647992204
350	0.2646584636
351	0.2645726082
352	0.2644884315
353	0.2643667587
354	0.2642883909
355	0.2642071408
356	0.2640964936
357	0.2639925384
358	0.2639321887
359	0.2637779383
360	0.2636603619
361	0.2635037403
362	0.2633931393
363	0.2633307041
364	0.2631887736
365	0.263106289
366	0.2630101788
367	0.2628752102
368	0.2627699797
369	0.2627149349
370	0.2626108523
371	0.2625050989
372	0.2624025166
373	0.2622694736
374	0.262195406
375	0.2620990081
376	0.2620044828
377	0.2618895743
378	0.261704842
379	0.2615984887
380	0.2615131626
381	0.2614027593
382	0.261312346
383	0.261194834
384	0.2611289697
385	0.261023265
386	0.260960737
387	0.2608626302
388	0.2607367486
389	0.2606397914
390	0.2605512277
391	0.260449989
392	0.2603665018
393	0.2602739339
394	0.2601942978
395	0.260074357
396	0.2599255863
397	0.2598011215
398	0.2597358226
399	0.2596079894
400	0.259521519
401	0.2594146439
402	0.2592988671
403	0.2591844536
404	0.2591101821
405	0.2590114416
406	0.2589363441
407	0.2588367029
408	0.2587704919
409	0.2586419916
410	0.2585326352
411	0.2583964448
412	0.2582771601
413	0.2581259862
414	0.2580198555
415	0.257896737
416	0.2577801368
417	0.2576764099
418	0.2575243609
419	0.2574344345
420	0.2573036345
421	0.2572006657
422	0.2570628516
423	0.2569624502
424	0.2568067386
425	0.2567097937
426	0.2566337498
427	0.256528921
428	0.2564465066
429	0.256381219
430	0.2563202992
431	0.2562212389
432	0.2561006116
433	0.2559799084
434	0.2558947479
435	0.2558221204
436	0.2557256973
437	0.2556298739
438	0.2555462588
439	0.2554518731
440	0.2553779924
441	0.2553001634
442	0.2552324343
443	0.2551200308
444	0.2549650241
445	0.2548724789
446	0.2547572979
447	0.2546440513
448	0.2545566981
449	0.2544736983
450	0.2543833517
451	0.2542928345
452	0.2542127169
453	0.2541337767
454	0.2540604643
455	0.2539350102
456	0.2538183289
457	0.2536976961
458	0.2536081592
459	0.253543615
460	0.2534601664
461	0.2533703652
462	0.2532547626
463	0.2531784855
464	0.2531095057
465	0.2530300206
466	0.2529552392
467	0.2528707016
468	0.2527092483
469	0.2525938653
470	0.2525147425
471	0.2524223532
472	0.2523261083
473	0.2522562157
474	0.2521691369
475	0.2520729931
476	0.2519828024
477	0.2518577767
478	0.2517626425
479	0.2515824625
480	0.2514847967
481	0.2514163384
482	0.251358527
483	0.2512160496
484	0.2511504934
485	0.2510642631
486	0.2509743326
487	0.2509191936
488	0.2508437811
489	0.2507259932
490	0.250665292
491	0.2505902238
492	0.2504853028
493	0.2503972202
494	0.2503144325
495	0.2502270947
496	0.2500736997
497	0.2500085848
498	0.2499464314
499	0.2498132502
500	0.2496447554
501	0.2494853182
502	0.2493811852
503	0.2492973317
504	0.2492289679
505	0.2491176203
506	0.2490265802
507	0.2489091549
508	0.2488149475
509	0.2487159766
510	0.2486258145
511	0.2485478466
512	0.2484544181
513	0.2483711947
514	0.2482637678
515	0.2482162103
516	0.2480522988
517	0.2479076987
518	0.2478308677
519	0.2477545238
520	0.2476894195
521	0.2475699467
522	0.2474710172
523	0.2473691963
524	0.2473085341
525	0.2472396759
526	0.2471361261
527	0.2469660914
528	0.2468574825
529	0.2467759108
530	0.2467247418
531	0.2465728526
532	0.2464729015
533	0.2463834491
534	0.2463080585
535	0.2461663866
536	0.2460532147
537	0.2459817913
538	0.2458906665
539	0.2457974184
540	0.2456752232
541	0.2456028265
542	0.2455381387
543	0.2454360057
544	0.2453256154
545	0.2452116759
546	0.2451269178
547	0.2450494268
548	0.2449056826
549	0.244814408
550	0.2446838786
551	0.2446136968
552	0.2445535178
553	0.2444870723
554	0.2443397451
555	0.2442242368
556	0.2441627583
557	0.2441113157
558	0.2439799658
559	0.243893157
560	0.2438181414
561	0.2437243204
562	0.2436303781
563	0.2435612842
564	0.2434256276
565	0.2433052711
566	0.2432137615
567	0.2431013774
568	0.2429713369
569	0.2428400187
570	0.2427508063
571	0.2426419001
572	0.2425147585
573	0.2424094086
574	0.242289028
575	0.2421526799
576	0.2420466832
577	0.2419885478
578	0.2419183023
579	0.2418522326
580	0.2417336978
581	0.2416515079
582	0.2415668206
583	0.2415150302
584	0.2414447571
585	0.2413562346
586	0.2412709349
587	0.2411507956
588	0.241016848
589	0.2408921154
590	0.2408472514
591	0.2407538247
592	0.2406504767
593	0.2405887737
594	0.2405223699
595	0.2404293157
596	0.2403678401
597	0.2403081778
598	0.2402508515
599	0.240094822
600	0.240013391
601	0.239958055
602	0.2398623131
603	0.2397747735
604	0.2396961138
605	0.2396169912
606	0.2395657245
607	0.2395222622
608	0.2394384716
609	0.2393766811
610	0.2392812167
611	0.2392359091
612	0.2391336784
613	0.2390796233
614	0.2389631387
615	0.238828296
616	0.2387683464
617	0.2386768881
618	0.2385904023
619	0.2385156926
620	0.2384056559
621	0.2382956695
622	0.2382101862
623	0.2381690918
624	0.238052621
625	0.2379695687
626	0.237867826
627	0.2377634284
628	0.2376723309
629	0.2375273025
630	0.2374262105
631	0.2373545561
632	0.2372366989
633	0.2371369459
634	0.2370451569
635	0.2369412896
636	0.2368173944
637	0.2367291891
638	0.2366367257
639	0.2365439754
640	0.2364880683
641	0.2364327447
642	0.2363603225
643	0.2362845668
644	0.2361724648
645	0.2360534226
646	0.2359430411
647	0.2358252917
648	0.2357092196
649	0.2356101124
650	0.2355270197
651	0.2354361884
652	0.2353682971
653	0.2353131275
654	0.2351922724
655	0.2351061952
656	0.2350220477
657	0.2348807273
658	0.2348175577
659	0.2347373391
660	0.2346160657
661	0.2345498125
662	0.2344809564
663	0.234394383
664	0.2343281407
665	0.2341805111
666	0.2340694887
667	0.233957411
668	0.2338913971
669	0.2338150195
670	0.233728859
671	0.2336497994
672	0.2335748361
673	0.2335076222
674	0.2334016937
675	0.2333048003
676	0.2332303822
677	0.2331547534
678	0.2330782884
679	0.2330056265
680	0.2329139605
681	0.2328071069
682	0.2326973059
683	0.2326144
684	0.2324815089
685	0.2323984149
686	0.2323197784
687	0.2322092719
688	0.2321087081
689	0.2320052247
690	0.2319153242
691	0.2318429137
692	0.2317701889
693	0.2317154049
694	0.2316042893
695	0.2314742286
696	0.2313905412
697	0.2312559867
698	0.2311605863
699	0.2311154229
700	0.2310102935
701	0.2309360156
702	0.2308741421
703	0.2308106215
704	0.230715756
705	0.2306657817
706	0.2305486349
707	0.2304912426
708	0.2303873936
709	0.230336358
710	0.2302376794
711	0.2301458546
712	0.2300478505
713	0.2299487153
714	0.2299081233
715	0.2297613435
716	0.229629071
717	0.2295393734
718	0.2294114566
719	0.2293387637
720	0.2292336577
721	0.2291087242
722	0.2290590251
723	0.2289551496
724	0.2289055897
725	0.2288365626
726	0.2287374532
727	0.228660929
728	0.2286138307
729	0.2285220355
730	0.2284080178
731	0.2283502955
732	0.2282497654
733	0.2281738314
734	0.2281071506
735	0.2279845449
736	0.2278915945
737	0.2277969156
738	0.2276832798
739	0.2276333349
740	0.2275591705
741	0.2274894305
742	0.2274331928
743	0.2273439808
744	0.2272640072
745	0.2272204434
746	0.2271365764
747	0.2270583991
748	0.2269782912
749	0.2268812615
750	0.2267916863
751	0.2267109885
752	0.2266633899
753	0.226572653
754	0.2264642414
755	0.2264072305
756	0.2262833802
757	0.2261766902
758	0.2260784115
759	0.2260088434
760	0.2259461507
761	0.2258494511
762	0.2257452279
763	0.2256840816
764	0.2255939731
765	0.2255248748
766	0.2254494569
767	0.2253916483
768	0.2253039009
769	0.2252378129
770	0.2251734518
771	0.2250923522
772	0.2250057989
773	0.2249075609
774	0.2248543028
775	0.2247615602
776	0.2246207581
777	0.2245333712
778	0.224434906
779	0.2243132495
780	0.2242232255
781	0.2241578368
782	0.2240777927
783	0.2239963331
784	0.223943756
785	0.2238652254
786	0.2237881887
787	0.2237404121
788	0.2236911579
789	0.2236027593
790	0.2235200281
791	0.2234142453
792	0.2233640497
793	0.2232486767
794	0.2231743448
795	0.2230731433
796	0.2230301775
797	0.2229746435
798	0.2228850249
799	0.2228102465
800	0.2227161763
801	0.2226497632
802	0.2225565013
803	0.2224683787
804	0.2223778855
805	0.2222494197
806	0.2221700012
807	0.2221302172
808	0.2220367467
809	0.2219151349
810	0.2218003583
811	0.2217103673
812	0.2216154344
813	0.2215468763
814	0.2214838943
815	0.2213691314
816	0.2212563406
817	0.2211494265
818	0.2210867192
819	0.2209488856
820	0.2208384712
821	0.220754773
822	0.2206865606
823	0.2206227756
824	0.2205580588
825	0.2205179838
826	0.2204544486
827	0.2203702455
828	0.2202606199
829	0.2201980191
830	0.2201290094
831	0.2200394402
832	0.2199788292
833	0.219916827
834	0.2198641209
835	0.2198063497
836	0.2197532254
837	0.2196666042
838	0.2195782855
839	0.2195416684
840	0.2194477661
841	0.2193604545
842	0.2192226276
843	0.2191881934
844	0.2191149102
845	0.2190647265
846	0.2190030248
847	0.2189052797
848	0.2188114477
849	0.2187382993
850	0.218673234
851	0.2185828363
852	0.2184797967
853	0.218373914
854	0.2183181497
855	0.2182113825
856	0.2181052948
857	0.2180662593
858	0.2179974067
859	0.2178982775
860	0.2178465962
861	0.2177880718
862	0.217715716
863	0.2176425784
864	0.2175297971
865	0.2174435836
866	0.2173952301
867	0.2173107574
868	0.2172186398
869	0.2171724559
870	0.2171050475
871	0.2170197237
872	0.2169619916
873	0.2168770495
874	0.2168058348
875	0.2167461957
876	0.2166794597
877	0.2166040246
878	0.2165223266
879	0.216470412
880	0.2164140632
881	0.2163348966
882	0.2162563002
883	0.2161817926
884	0.2160962874
885	0.2160328501
886	0.2159498068
887	0.2158235846
888	0.2157449606
889	0.2156417265
890	0.2155328501
891	0.2154547672
892	0.2153996935
893	0.2153642756
894	0.2152786569
895	0.2151805439
896	0.2151044367
897	0.2150412791
898	0.2149880645
899	0.2148954897
