iter	RMSE
0	0.9740944499
1	0.9496857339
2	0.9254335767
3	0.9022900393
4	0.8795507498
5	0.8580530583
6	0.8365771325
7	0.81608071
8	0.7965494338
9	0.7777161676
10	0.7590474528
11	0.7409616311
12	0.7236935946
13	0.7066823651
14	0.6903483602
15	0.6750483483
16	0.6602550535
17	0.6455663118
18	0.6312732537
19	0.6181450107
20	0.6051112298
21	0.5921010586
22	0.5795735041
23	0.5679886879
24	0.5562484355
25	0.5452130757
26	0.5345916319
27	0.5244618772
28	0.5144711322
29	0.504917158
30	0.4957789789
31	0.4871230701
32	0.4784749135
33	0.470455161
34	0.4627958214
35	0.4554413942
36	0.4484043068
37	0.4415794338
38	0.4350186237
39	0.4285868821
40	0.422461329
41	0.4167431123
42	0.4111312908
43	0.4058420156
44	0.4007658739
45	0.3958799722
46	0.3913497136
47	0.3869965216
48	0.3828360008
49	0.3786762578
50	0.3746005653
51	0.370808981
52	0.3671861451
53	0.3637502842
54	0.3603173651
55	0.3572117975
56	0.3543303827
57	0.3515858762
58	0.34885396
59	0.346254346
60	0.343758242
61	0.3415360725
62	0.3392251455
63	0.3371413996
64	0.3351116885
65	0.3332675192
66	0.3313688498
67	0.3295341075
68	0.3279438623
69	0.3262661418
70	0.3247672552
71	0.323344435
72	0.3219590601
73	0.3206258719
74	0.3194091413
75	0.3181550291
76	0.3169844943
77	0.3158807375
78	0.3148020437
79	0.3137907068
80	0.3128553927
81	0.3118659793
82	0.3110444693
83	0.3101922398
84	0.3094548662
85	0.3086773557
86	0.3079389076
87	0.3072192142
88	0.306512161
89	0.3058924499
90	0.3052840951
91	0.3046511914
92	0.3040602874
93	0.3034886445
94	0.3029384615
95	0.3024166143
96	0.3019190151
97	0.3014230842
98	0.3009615254
99	0.3004866879
100	0.300032656
101	0.2996462639
102	0.2992309549
103	0.2988189099
104	0.2985075419
105	0.2981252268
106	0.29779455
107	0.297478697
108	0.2971508976
109	0.2968290823
110	0.2964829619
111	0.29616467
112	0.2959245292
113	0.2956521096
114	0.2953623675
115	0.2950851132
116	0.2948259296
117	0.2945650988
118	0.2943293118
119	0.2940696895
120	0.2938248455
121	0.2935398318
122	0.2932706059
123	0.2930701859
124	0.2928195068
125	0.2925920942
126	0.2923768607
127	0.2921717392
128	0.2919560924
129	0.2917289095
130	0.2915419883
131	0.2913176199
132	0.2911437232
133	0.2909577714
134	0.2907435745
135	0.2905436334
136	0.2903231732
137	0.2901501913
138	0.290002424
139	0.2898011079
140	0.2896202447
141	0.2893971576
142	0.2892068055
143	0.2890233007
144	0.2888858136
145	0.288684866
146	0.2885328593
147	0.2883873575
148	0.2882242703
149	0.2880678973
150	0.2879321697
151	0.2877606983
152	0.2876003658
153	0.2874653181
154	0.2873450966
155	0.2872479844
156	0.2871100402
157	0.2869184577
158	0.2867782083
159	0.2866303369
160	0.2864126895
161	0.2862469674
162	0.2860950373
163	0.2858946742
164	0.2857686843
165	0.2856319775
166	0.2855105505
167	0.2853711663
168	0.2852667542
169	0.2851550727
170	0.2849988558
171	0.2848512028
172	0.2847387577
173	0.2845580026
174	0.2843697076
175	0.2842077648
176	0.2841124605
177	0.2840451866
178	0.2839085287
179	0.2838159563
180	0.283718848
181	0.2836089463
182	0.2834775086
183	0.283371705
184	0.283262869
185	0.2831011787
186	0.2829415213
187	0.2828444399
188	0.2827439174
189	0.282618212
190	0.2825405704
191	0.2823377447
192	0.282233343
193	0.2820451968
194	0.281988588
195	0.2818709123
196	0.2817250136
197	0.2815974786
198	0.2814936977
199	0.2814387463
200	0.2813363294
201	0.2812544425
202	0.2811410884
203	0.2810292271
204	0.2808937654
205	0.280753738
206	0.2805726724
207	0.2804854692
208	0.2803840871
209	0.2801936084
210	0.2800476738
211	0.2799416308
212	0.2797728635
213	0.2796590273
214	0.2795543818
215	0.2794106196
216	0.2792781896
217	0.2791602872
218	0.2790978662
219	0.2789470658
220	0.2788659729
221	0.2787539038
222	0.2786214642
223	0.278544816
224	0.2783902964
225	0.278298322
226	0.2781820157
227	0.2780932625
228	0.2779724403
229	0.2778807138
230	0.2777678554
231	0.2776616644
232	0.2775454926
233	0.277467726
234	0.2772722344
235	0.2771544599
236	0.2770377063
237	0.2769523009
238	0.2768540366
239	0.2767462661
240	0.276619985
241	0.2765107479
242	0.276377212
243	0.2762840442
244	0.2761594561
245	0.2760703553
246	0.2759917978
247	0.2758669945
248	0.2756990176
249	0.2755786623
250	0.2754732545
251	0.2753476577
252	0.2752680048
253	0.2751069452
254	0.2750240094
255	0.2749142608
256	0.2747976918
257	0.2746358682
258	0.2744884523
259	0.2743119903
260	0.2741921546
261	0.2740932202
262	0.2740081047
263	0.2738906271
264	0.2738245769
265	0.2737466748
266	0.2736397431
267	0.2735486287
268	0.2734565386
269	0.2733094821
270	0.2731748102
271	0.2730592753
272	0.2728940191
273	0.2727262633
274	0.2726270735
275	0.2724654077
276	0.272398552
277	0.2722347695
278	0.2721117328
279	0.272025432
280	0.2718892814
281	0.2717690969
282	0.2716006341
283	0.2714685169
284	0.2713818976
285	0.2712977335
286	0.2711668059
287	0.2710706488
288	0.2709657253
289	0.2708894646
290	0.2707778356
291	0.2706535782
292	0.2705841799
293	0.270488165
294	0.2704110067
295	0.2702922022
296	0.2701792545
297	0.2701313276
298	0.2700480211
299	0.2699721963
300	0.2698820389
301	0.2697910238
302	0.2697167207
303	0.2696511987
304	0.2695614781
305	0.2694685514
306	0.2692994572
307	0.2692231916
308	0.269163114
309	0.2690222449
310	0.2689420895
311	0.2688648628
312	0.268804036
313	0.2687162094
314	0.2686172965
315	0.2684826389
316	0.2683670187
317	0.26829912
318	0.2682556139
319	0.2681411729
320	0.2680043125
321	0.267904129
322	0.2678048263
323	0.2677100713
324	0.2675642325
325	0.2674986984
326	0.2673392471
327	0.2672340113
328	0.2671483053
329	0.2670131921
330	0.2668884036
331	0.2667758759
332	0.2666448092
333	0.2665452
334	0.2664503563
335	0.2663474917
336	0.2662720184
337	0.2661986942
338	0.2661163477
